satellite,instrument,satellite-description,instrument-description
mms-b,feeps,Magnetospheric MultiScale mission - B (MMS-B),Fly's Eye Energetic Particle Sensor (FEEPS)
mms-b,fpi,Magnetospheric MultiScale mission - B (MMS-B),Fast Plasma Instrument (FPI)
mms-b,hpca,Magnetospheric MultiScale mission - B (MMS-B),Hot Plasma Composition Analyzer (HPCA)
mms-b,scm,Magnetospheric MultiScale mission - B (MMS-B),Search Coil Magnetometer (SCM)
mms-c,afg,Magnetospheric MultiScale mission - C (MMS-C),Analog Fluxgate Magnetometer (AFG)
mms-c,dfg,Magnetospheric MultiScale mission - C (MMS-C),Digital Fluxgate Magnetometer (DFG)
mms-c,dp,Magnetospheric MultiScale mission - C (MMS-C),Digital Fluxgate Magnetometer (DFG)
mms-c,edi,Magnetospheric MultiScale mission - C (MMS-C),Electron Drift Instrument (EDI)
mms-c,eis,Magnetospheric MultiScale mission - C (MMS-C),Energetic Ion Spectrometer (EIS)
mms-c,feeps,Magnetospheric MultiScale mission - C (MMS-C),Fly's Eye Energetic Particle Sensor (FEEPS)
mms-c,fpi,Magnetospheric MultiScale mission - C (MMS-C),Fast Plasma Instrument (FPI)
mms-c,hpca,Magnetospheric MultiScale mission - C (MMS-C),Hot Plasma Composition Analyzer (HPCA)
mms-c,scm,Magnetospheric MultiScale mission - C (MMS-C),Search Coil Magnetometer (SCM)
mms-d,afg,Magnetospheric MultiScale mission - D (MMS-D),Analog Fluxgate Magnetometer (AFG)
mms-d,dfg,Magnetospheric MultiScale mission - D (MMS-D),Digital Fluxgate Magnetometer (DFG)
